epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0144,2.12056,4.58906,1.23192,0.75551,0.70438,0.60468,0.22497,1.94687,1.28932,1.18034,0.00065942,0.00065942,0.00065942
2,77.0489,2.03858,1.41287,1.23351,0.45241,0.28676,0.26635,0.09045,2.38959,2.9833,1.37861,0.00130733,0.00130733,0.00130733
3,114.774,1.99846,1.29456,1.25066,0.30826,0.68382,0.2543,0.09419,1.99633,4.47344,1.26717,0.00193639,0.00193639,0.00193639
4,152.254,1.91321,1.22054,1.2028,0.74463,0.65441,0.6531,0.2201,2.41256,1.40564,1.35394,0.00191514,0.00191514,0.00191514
5,189.899,1.98012,1.23949,1.2305,0.61213,0.45588,0.46373,0.21133,1.83005,1.2971,1.13528,0.00188686,0.00188686,0.00188686
6,227.451,1.89477,1.20956,1.19372,0.71456,0.57064,0.65714,0.32156,1.67296,1.18473,1.05283,0.00185857,0.00185857,0.00185857
7,266.782,1.86738,1.13306,1.17494,0.84843,0.82353,0.83267,0.32176,1.86471,1.08518,1.09852,0.00183029,0.00183029,0.00183029
8,308.6,1.83466,1.11423,1.16069,0.86424,0.70588,0.78043,0.36674,1.65525,0.99258,1.03284,0.001802,0.001802,0.001802
9,350.126,1.79785,1.09157,1.13328,0.71619,0.76079,0.7997,0.38782,1.64472,0.99477,1.05475,0.00177371,0.00177371,0.00177371
10,391.49,1.75684,1.09754,1.10175,0.86112,0.86624,0.88241,0.43175,1.5013,0.92028,1.02179,0.00174543,0.00174543,0.00174543
11,432.993,1.74618,1.05004,1.13732,0.85357,0.55147,0.70969,0.31308,1.83291,1.15291,1.11273,0.00171714,0.00171714,0.00171714
12,474.592,1.70639,1.01659,1.12281,0.80526,0.79054,0.84083,0.38387,1.64312,0.94039,1.03815,0.00168886,0.00168886,0.00168886
13,515.619,1.78835,1.05888,1.14185,0.85895,0.76121,0.82782,0.40555,1.51776,0.87142,0.99668,0.00166057,0.00166057,0.00166057
14,557.074,1.70453,1.01482,1.09745,0.86537,0.86029,0.88908,0.42346,1.43338,0.80677,0.9758,0.00163229,0.00163229,0.00163229
15,598.656,1.68817,1.07484,1.11328,0.79957,0.79412,0.83097,0.41403,1.42402,0.93617,0.9801,0.001604,0.001604,0.001604
16,639.822,1.71163,1.09207,1.11373,0.91191,0.81618,0.88983,0.4293,1.48656,0.85618,0.99241,0.00157571,0.00157571,0.00157571
17,681.295,1.62536,1.0235,1.07602,0.93414,0.80882,0.87759,0.42717,1.54249,0.85396,1.01529,0.00154743,0.00154743,0.00154743
