epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1617,2.12477,4.5203,1.23553,0.00908,0.29412,0.00755,0.00214,2.40999,82.2588,1.33116,0.00065942,0.00065942,0.00065942
2,56.6248,2.02141,1.38297,1.22261,0.76939,0.1963,0.20359,0.07092,1.86434,1.19568,1.55373,0.00131733,0.00131733,0.00131733
3,82.719,2.03557,1.3405,1.24853,0.80146,0.71324,0.79172,0.34138,1.81358,1.06256,1.14161,0.00196645,0.00196645,0.00196645
4,108.844,1.98016,1.31479,1.23034,0.82582,0.68382,0.70486,0.28873,2.00005,1.41778,1.15808,0.0019604,0.0019604,0.0019604
5,134.718,1.97677,1.19723,1.2411,0.75775,0.70588,0.74504,0.32107,1.72853,1.05821,1.09898,0.0019472,0.0019472,0.0019472
6,160.532,1.86438,1.21214,1.19332,0.22151,0.76471,0.18321,0.06427,2.12035,4.77587,1.30397,0.001934,0.001934,0.001934
7,186.353,1.88424,1.18061,1.15379,0.8614,0.82257,0.82293,0.37268,1.74209,0.90782,1.06485,0.0019208,0.0019208,0.0019208
8,212.309,1.79592,1.14007,1.14821,0.90385,0.80882,0.83111,0.37308,1.58846,0.93617,1.0531,0.0019076,0.0019076,0.0019076
9,238.513,1.78564,1.0924,1.15621,0.80947,0.81222,0.86364,0.39286,1.65971,0.98649,1.03084,0.0018944,0.0018944,0.0018944
10,264.565,1.82439,1.1285,1.15912,0.84658,0.81147,0.82491,0.35572,1.83531,0.97921,1.09678,0.0018812,0.0018812,0.0018812
11,291.264,1.72456,1.04742,1.10967,0.90581,0.80147,0.87098,0.41619,1.49068,0.88617,0.9845,0.001868,0.001868,0.001868
12,317.509,1.74713,1.05087,1.11955,0.77303,0.50086,0.63633,0.28293,2.00549,1.17537,1.12729,0.0018548,0.0018548,0.0018548
13,343.724,1.76208,1.04991,1.13444,0.8448,0.80882,0.84524,0.4315,1.51496,0.87243,1.00115,0.0018416,0.0018416,0.0018416
14,370.054,1.75915,1.03627,1.12411,0.87745,0.78968,0.83987,0.38347,1.5729,0.92632,1.00654,0.0018284,0.0018284,0.0018284
15,404.016,1.72954,1.06503,1.1534,0.73877,0.76942,0.80307,0.37371,1.45677,0.99474,0.96884,0.0018152,0.0018152,0.0018152
16,435.94,1.69872,1.08394,1.09764,0.90687,0.78757,0.8766,0.42416,1.46724,0.90796,0.9983,0.001802,0.001802,0.001802
17,464.571,1.67761,1.04296,1.10479,0.76513,0.52206,0.66206,0.28409,1.8988,1.2152,1.13012,0.0017888,0.0017888,0.0017888
18,493.129,1.69453,1.05733,1.12426,0.91183,0.76471,0.83986,0.42237,1.50407,0.87979,1.00255,0.0017756,0.0017756,0.0017756
19,521.822,1.68099,1.03517,1.08244,0.9196,0.80882,0.85362,0.35991,1.72126,0.91479,1.0452,0.0017624,0.0017624,0.0017624
20,550.881,1.68789,1.04486,1.10063,0.90249,0.81618,0.85001,0.36324,1.73425,0.93882,1.05813,0.0017492,0.0017492,0.0017492
21,576.95,1.68729,1.01683,1.10492,0.91549,0.87622,0.92586,0.47397,1.39606,0.82599,0.99085,0.001736,0.001736,0.001736
22,603.151,1.67658,1.00401,1.10552,0.83384,0.82353,0.85382,0.40257,1.39303,0.85802,0.95173,0.0017228,0.0017228,0.0017228
23,629.167,1.61546,0.98397,1.06669,0.95406,0.76357,0.86873,0.45241,1.46327,0.80921,1.00635,0.0017096,0.0017096,0.0017096
24,655.064,1.64834,0.9561,1.1092,0.91892,0.74999,0.84889,0.39225,1.65407,0.88792,1.04842,0.0016964,0.0016964,0.0016964
25,681.053,1.61972,0.99166,1.09016,0.77637,0.71475,0.78185,0.36096,1.45641,0.94469,0.97393,0.0016832,0.0016832,0.0016832
