epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3992,2.31082,7.58798,1.27978,0.04188,0.28251,0.01726,0.00599,2.36065,13.6431,1.32725,0.000662921,0.000662921,0.000662921
2,65.5039,2.14674,1.51944,1.24492,0.39819,0.63495,0.46966,0.18678,2.0624,1.46283,1.20547,0.00132081,0.00132081,0.00132081
3,97.5444,2.1438,1.49981,1.22021,0.19747,0.13453,0.0342,0.0103,2.31825,3.15818,1.40261,0.0019699,0.0019699,0.0019699
4,129.571,2.1292,1.38885,1.19022,0.50478,0.39462,0.3735,0.16129,2.0878,2.08377,1.20586,0.0019604,0.0019604,0.0019604
5,161.625,2.05928,1.40211,1.17748,0.7172,0.75785,0.71647,0.28886,1.79929,1.20217,1.09094,0.0019472,0.0019472,0.0019472
6,193.773,2.02583,1.28241,1.17135,0.71266,0.6861,0.74474,0.31211,1.87646,1.16698,1.09315,0.001934,0.001934,0.001934
7,225.906,1.97876,1.30054,1.14969,0.60092,0.68874,0.69844,0.32148,1.79183,1.17353,1.09415,0.0019208,0.0019208,0.0019208
8,258.043,1.95902,1.24594,1.13372,0.7791,0.79082,0.79226,0.36197,1.86184,1.06018,1.08536,0.0019076,0.0019076,0.0019076
9,290.187,1.96453,1.27458,1.14033,0.74642,0.73991,0.80167,0.35907,1.71593,1.01357,1.04997,0.0018944,0.0018944,0.0018944
10,322.233,1.90875,1.27157,1.13006,0.79155,0.78027,0.7811,0.33129,1.93368,1.04622,1.1186,0.0018812,0.0018812,0.0018812
11,354.314,1.92455,1.24593,1.10885,0.80701,0.78475,0.79615,0.33825,1.92841,1.28649,1.11424,0.001868,0.001868,0.001868
12,386.385,1.90752,1.1891,1.11544,0.71082,0.8296,0.82888,0.38391,1.66232,1.02745,1.04548,0.0018548,0.0018548,0.0018548
13,418.51,1.90179,1.18233,1.126,0.50831,0.6861,0.5923,0.25849,1.86775,1.25337,1.09224,0.0018416,0.0018416,0.0018416
14,450.553,1.88422,1.20414,1.11106,0.70198,0.7605,0.8251,0.37447,1.78887,1.0245,1.0655,0.0018284,0.0018284,0.0018284
15,482.574,1.88352,1.17117,1.1088,0.774,0.78325,0.77788,0.37637,1.77063,1.03819,1.06834,0.0018152,0.0018152,0.0018152
16,514.643,1.83268,1.15906,1.09844,0.78898,0.88341,0.87677,0.41348,1.69682,0.99251,1.05498,0.001802,0.001802,0.001802
17,546.742,1.86449,1.13814,1.08839,0.74857,0.74439,0.75052,0.31985,1.88757,1.10571,1.10751,0.0017888,0.0017888,0.0017888
18,578.797,1.82263,1.12906,1.08544,0.71948,0.74761,0.72077,0.30305,1.77579,1.08224,1.08081,0.0017756,0.0017756,0.0017756
19,610.904,1.81998,1.14123,1.09721,0.71442,0.80269,0.82329,0.38948,1.58735,0.97399,1.01735,0.0017624,0.0017624,0.0017624
20,642.934,1.82103,1.10094,1.07847,0.81167,0.87444,0.86333,0.42827,1.65735,0.87303,1.04849,0.0017492,0.0017492,0.0017492
21,675.077,1.87533,1.14632,1.09838,0.72288,0.76233,0.74684,0.32218,1.7186,1.01272,1.03995,0.001736,0.001736,0.001736
22,707.15,1.79503,1.11427,1.0873,0.81475,0.83408,0.86058,0.41507,1.69734,0.97126,1.04895,0.0017228,0.0017228,0.0017228
23,739.176,1.80487,1.09632,1.07168,0.78658,0.83857,0.83997,0.41278,1.62256,0.96445,1.02244,0.0017096,0.0017096,0.0017096
24,771.265,1.77066,1.08499,1.07299,0.83383,0.83408,0.88508,0.4239,1.64956,0.89746,1.03645,0.0016964,0.0016964,0.0016964
25,803.305,1.79989,1.06825,1.08273,0.88676,0.87444,0.9046,0.44488,1.67514,0.88611,1.02639,0.0016832,0.0016832,0.0016832
26,835.401,1.8042,1.08671,1.07112,0.79853,0.81758,0.85095,0.39211,1.66021,0.95741,1.02457,0.00167,0.00167,0.00167
27,867.437,1.77463,1.07478,1.06491,0.76758,0.79974,0.82417,0.4031,1.60953,0.95526,1.00636,0.0016568,0.0016568,0.0016568
28,899.49,1.77588,1.04883,1.07068,0.84237,0.86547,0.88538,0.43539,1.59818,0.90081,1.02054,0.0016436,0.0016436,0.0016436
29,931.567,1.77397,1.06489,1.07512,0.90827,0.8565,0.90234,0.44281,1.63117,0.87351,1.03535,0.0016304,0.0016304,0.0016304
30,963.637,1.76645,1.04404,1.07591,0.85983,0.88023,0.90539,0.44472,1.56997,0.89061,1.0093,0.0016172,0.0016172,0.0016172
31,995.687,1.73778,1.03479,1.06012,0.81376,0.78924,0.84368,0.39675,1.68036,0.92599,1.04237,0.001604,0.001604,0.001604
32,1027.76,1.7841,1.0253,1.06999,0.85833,0.86943,0.89805,0.46145,1.56185,0.87481,1.00767,0.0015908,0.0015908,0.0015908
33,1059.88,1.755,1.03046,1.05561,0.83573,0.84409,0.85831,0.43978,1.63218,0.90188,1.04863,0.0015776,0.0015776,0.0015776
34,1091.98,1.76296,1.04958,1.04722,0.8433,0.8688,0.88994,0.44621,1.55276,0.86454,0.99978,0.0015644,0.0015644,0.0015644
35,1124.08,1.71457,1.02669,1.06706,0.83648,0.87171,0.89055,0.43782,1.60712,0.9055,1.01758,0.0015512,0.0015512,0.0015512
36,1156.16,1.7191,1.0068,1.0308,0.87271,0.8565,0.90361,0.45546,1.55739,0.86074,1.01518,0.001538,0.001538,0.001538
