epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7082,2.29747,4.22821,1.25459,0.20312,0.47982,0.1205,0.04058,2.24911,60.7074,1.26321,0.000662921,0.000662921,0.000662921
2,64.0037,2.14565,1.45911,1.2384,0.45862,0.25833,0.22583,0.09418,2.32744,3.48909,1.35037,0.00132081,0.00132081,0.00132081
3,95.4304,2.13862,1.44852,1.21504,0.41711,0.53812,0.46116,0.16019,2.18113,1.52208,1.22204,0.0019699,0.0019699,0.0019699
4,126.87,2.07092,1.35625,1.16843,0.73652,0.64574,0.64647,0.27406,2.03354,1.59717,1.17662,0.0019604,0.0019604,0.0019604
5,158.257,2.03437,1.30749,1.16821,0.75185,0.83408,0.82066,0.34119,1.81771,1.041,1.07124,0.0019472,0.0019472,0.0019472
6,189.626,1.99258,1.26707,1.15497,0.74046,0.78475,0.76207,0.33839,1.82436,3.09053,1.07855,0.001934,0.001934,0.001934
7,220.91,1.96175,1.25509,1.14208,0.81123,0.84791,0.85061,0.37066,1.7651,1.01949,1.06879,0.0019208,0.0019208,0.0019208
8,252.283,1.94053,1.20223,1.12682,0.81554,0.81166,0.83312,0.39926,1.73795,1.13014,1.07417,0.0019076,0.0019076,0.0019076
9,283.747,1.97736,1.22614,1.13052,0.80666,0.83408,0.87332,0.4099,1.72212,1.07002,1.06367,0.0018944,0.0018944,0.0018944
10,315.192,1.89267,1.1798,1.11685,0.78453,0.80269,0.82133,0.37318,1.7003,1.02042,1.03945,0.0018812,0.0018812,0.0018812
11,346.507,1.89303,1.15603,1.09734,0.80321,0.80533,0.82374,0.40372,1.79181,1.08782,1.06488,0.001868,0.001868,0.001868
12,377.843,1.87792,1.13896,1.10962,0.81251,0.83563,0.86098,0.38601,1.7808,1.05946,1.08328,0.0018548,0.0018548,0.0018548
13,409.175,1.88501,1.15229,1.11357,0.86375,0.83408,0.87237,0.38656,1.64978,0.93627,1.02882,0.0018416,0.0018416,0.0018416
14,440.469,1.86865,1.15834,1.09512,0.84712,0.86996,0.87246,0.359,1.87084,1.02368,1.10708,0.0018284,0.0018284,0.0018284
15,471.756,1.85731,1.10393,1.09655,0.89943,0.88232,0.89007,0.42048,1.7045,0.92167,1.03034,0.0018152,0.0018152,0.0018152
16,503.185,1.8153,1.08684,1.08925,0.86993,0.87444,0.8672,0.36077,1.88025,1.00691,1.09954,0.001802,0.001802,0.001802
17,534.514,1.85673,1.08426,1.08344,0.90651,0.87892,0.91399,0.43035,1.75353,0.87996,1.05867,0.0017888,0.0017888,0.0017888
18,565.937,1.79656,1.06893,1.07509,0.80578,0.82511,0.85039,0.33397,1.92929,0.98654,1.10843,0.0017756,0.0017756,0.0017756
19,597.291,1.81373,1.09132,1.08588,0.89838,0.83408,0.90909,0.43862,1.67869,0.93459,1.02191,0.0017624,0.0017624,0.0017624
20,628.758,1.81268,1.06212,1.06469,0.89192,0.88816,0.89792,0.44918,1.55592,0.84595,1.00122,0.0017492,0.0017492,0.0017492
21,660.159,1.79785,1.04456,1.07381,0.90602,0.89686,0.91198,0.43344,1.59789,0.88927,1.0243,0.001736,0.001736,0.001736
22,691.524,1.78552,1.06149,1.07547,0.80468,0.83138,0.84389,0.41794,1.61486,0.96743,1.0379,0.0017228,0.0017228,0.0017228
23,722.885,1.76716,1.04329,1.05692,0.86581,0.83857,0.86333,0.40629,1.69706,0.90385,1.04487,0.0017096,0.0017096,0.0017096
24,754.243,1.79321,1.0439,1.0719,0.85613,0.86996,0.89964,0.46199,1.56546,0.87381,0.99908,0.0016964,0.0016964,0.0016964
25,785.698,1.76834,1.02677,1.07213,0.89248,0.90135,0.91752,0.43815,1.63848,0.86016,1.01089,0.0016832,0.0016832,0.0016832
26,817.103,1.79932,1.02065,1.06086,0.87195,0.86099,0.87681,0.43537,1.59359,0.87157,1.00776,0.00167,0.00167,0.00167
27,848.456,1.76833,1.00841,1.06201,0.87632,0.90135,0.89994,0.44885,1.57702,0.85449,1.01199,0.0016568,0.0016568,0.0016568
28,879.814,1.75826,1.01358,1.05727,0.91247,0.90135,0.91688,0.45635,1.58398,0.86199,1.00381,0.0016436,0.0016436,0.0016436
29,911.161,1.74694,1.03322,1.05848,0.90759,0.87892,0.88872,0.43044,1.63414,0.87008,1.02018,0.0016304,0.0016304,0.0016304
30,942.519,1.7282,0.999,1.05872,0.89339,0.88341,0.89099,0.45282,1.48495,0.81794,0.98292,0.0016172,0.0016172,0.0016172
31,973.89,1.71376,0.98955,1.04656,0.86692,0.82511,0.85601,0.39817,1.60363,0.89761,1.00782,0.001604,0.001604,0.001604
32,1005.24,1.76554,0.97512,1.06531,0.87501,0.84764,0.85648,0.42807,1.60477,0.86875,1.01743,0.0015908,0.0015908,0.0015908
33,1036.58,1.75799,1.00092,1.0532,0.90934,0.89957,0.90808,0.46097,1.55755,0.81686,1.00602,0.0015776,0.0015776,0.0015776
34,1067.95,1.7496,0.9988,1.03935,0.87738,0.86633,0.89899,0.45558,1.5385,0.84383,0.98589,0.0015644,0.0015644,0.0015644
35,1099.23,1.70287,0.97626,1.05702,0.88245,0.88341,0.91061,0.48189,1.50615,0.80638,0.98523,0.0015512,0.0015512,0.0015512
36,1130.65,1.71054,0.95063,1.0235,0.91024,0.8565,0.91015,0.46469,1.57204,0.8084,1.0261,0.001538,0.001538,0.001538
37,1162.01,1.73214,0.97197,1.0513,0.92242,0.90642,0.93303,0.48167,1.53891,0.78177,0.99375,0.0015248,0.0015248,0.0015248
38,1193.38,1.76265,0.99249,1.06055,0.89444,0.86996,0.91079,0.48146,1.50936,0.7977,0.98798,0.0015116,0.0015116,0.0015116
39,1224.73,1.68862,0.9498,1.04591,0.88785,0.90135,0.90664,0.43789,1.62697,0.83648,1.03053,0.0014984,0.0014984,0.0014984
40,1256.04,1.70029,0.92068,1.02685,0.92785,0.89238,0.9204,0.46246,1.55757,0.81002,1.00009,0.0014852,0.0014852,0.0014852
41,1287.41,1.71305,0.95227,1.03267,0.9354,0.90904,0.9348,0.48788,1.51478,0.76901,0.98605,0.001472,0.001472,0.001472
