epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9833,2.10009,1.74604,1.22021,0.86667,0.83088,0.86251,0.38038,1.63846,0.88664,0.99108,0.066881,3.31522e-05,3.31522e-05
2,131.925,1.81098,1.10682,1.11815,0.78247,0.77206,0.84979,0.44163,1.47374,0.8768,0.9423,0.0335777,6.31945e-05,6.31945e-05
3,201.225,1.80081,1.05171,1.10891,0.84351,0.86029,0.8943,0.47142,1.44988,0.78473,0.95476,0.000271096,8.99368e-05,8.99368e-05
4,259.338,1.72928,0.99059,1.09135,0.83769,0.83824,0.88426,0.48734,1.39053,0.7386,0.92261,8.515e-05,8.515e-05,8.515e-05
5,309.79,1.60447,0.94539,1.06807,0.87023,0.83823,0.89921,0.47057,1.45969,0.7877,0.91286,8.02e-05,8.02e-05,8.02e-05
6,359.754,1.64205,0.92788,1.04427,0.90173,0.83088,0.91137,0.50892,1.37106,0.72293,0.90745,7.525e-05,7.525e-05,7.525e-05
7,409.906,1.58405,0.92758,1.05333,0.90729,0.86354,0.90947,0.48006,1.37444,0.71612,0.93114,7.03e-05,7.03e-05,7.03e-05
8,459.901,1.56477,0.90526,1.05439,0.80819,0.84559,0.88834,0.50252,1.37021,0.7235,0.95826,6.535e-05,6.535e-05,6.535e-05
9,509.628,1.56231,0.89172,1.03516,0.89052,0.86765,0.91647,0.51357,1.36065,0.7095,0.92072,6.04e-05,6.04e-05,6.04e-05
10,561.697,1.53925,0.8874,1.02372,0.88062,0.8136,0.89434,0.494,1.40745,0.75343,0.93941,5.545e-05,5.545e-05,5.545e-05
11,641.327,1.5452,0.87287,1.07321,0.92347,0.88731,0.92394,0.47661,1.43615,0.75155,0.93444,5.05e-05,5.05e-05,5.05e-05
12,694.182,1.49576,0.85249,1.04581,0.90121,0.80496,0.90043,0.51191,1.30673,0.73162,0.90853,4.555e-05,4.555e-05,4.555e-05
13,749.033,1.51253,0.85021,1.05142,0.89161,0.875,0.9217,0.52493,1.31631,0.7016,0.89849,4.06e-05,4.06e-05,4.06e-05
14,805.266,1.444,0.84751,1.01985,0.89908,0.89706,0.92929,0.54809,1.25737,0.6574,0.90632,3.565e-05,3.565e-05,3.565e-05
15,882.184,1.44618,0.81032,1.0138,0.8991,0.875,0.92232,0.53431,1.28932,0.65744,0.91397,3.07e-05,3.07e-05,3.07e-05
16,936.665,1.44133,0.79853,1.03404,0.90673,0.88235,0.92597,0.54607,1.2696,0.65329,0.91782,2.575e-05,2.575e-05,2.575e-05
17,991.238,1.40068,0.82063,1.02074,0.92574,0.86029,0.9215,0.53224,1.28348,0.67472,0.91944,2.08e-05,2.08e-05,2.08e-05
18,1045.84,1.39327,0.78055,1.01464,0.94357,0.86058,0.93933,0.5541,1.27651,0.64335,0.91203,1.585e-05,1.585e-05,1.585e-05
19,1100.64,1.41171,0.75193,1.02208,0.89187,0.86765,0.91709,0.53796,1.27099,0.64144,0.91084,1.09e-05,1.09e-05,1.09e-05
20,1155.14,1.38897,0.75312,1.01775,0.90777,0.86845,0.92507,0.55787,1.24075,0.6093,0.91558,5.95e-06,5.95e-06,5.95e-06
